split,feature,macro_f1,balanced_accuracy,f1_drop
28,SKEWNESS_ABOUT_MAJOR,0.7433831412489948,0.74237012987013,0.12460781482335659
28,SKEWNESS_ABOUT_MINOR,0.8679909560723514,0.8690476190476191,0.0
28,KURTOSIS_ABOUT_MAJOR,0.8530365769496204,0.8571428571428572,0.01495437912273101
28,KURTOSIS_ABOUT_MINOR,0.7346241060526775,0.737987012987013,0.13336685001967397
28,HOLLOWS_RATIO,0.5480742296918768,0.5630952380952381,0.31991672638047464
29,COMPACTNESS,0.7242052082477614,0.7343073593073594,0.14578460766519685
29,CIRCULARITY,0.7093762240501371,0.7202380952380952,0.1606135918628211
29,DISTANCE_CIRCULARITY,0.7367325365664236,0.7586580086580087,0.13325727934653464
29,RADIUS_RATIO,0.6474459959422365,0.6472146274777854,0.2225438199707217
29,PR.AXIS_ASPECT_RATIO,0.7434483653347171,0.7444178628389154,0.12654145057824107
29,MAX.LENGTH_ASPECT_RATIO,0.8806818181818183,0.8847402597402598,-0.010692002268860135
29,SCATTER_RATIO,0.7830138853394667,0.788961038961039,0.08697593057349151
29,ELONGATEDNESS,0.8068596621038353,0.8086409204830258,0.0631301538091229
29,PR.AXIS_RECTANGULARITY,0.8081852161639396,0.8012360446570973,0.06180459974901864
29,MAX.LENGTH_RECTANGULARITY,0.8032218850896643,0.8138528138528138,0.06676793082329391
29,SCALED_VARIANCE_MAJOR,0.7807975357975359,0.788961038961039,0.08919228011542235
29,SCALED_VARIANCE_MINOR,0.7165104146236222,0.7196969696969697,0.15347940128933601
29,SCALED_RADIUS_OF_GYRATION,0.8447681005071823,0.847943722943723,0.02522171540577589
29,SKEWNESS_ABOUT_MAJOR,0.7411946296222374,0.740829346092504,0.12879518629072084
29,SKEWNESS_ABOUT_MINOR,0.8808848553601815,0.8841991341991342,-0.010895039447223254
29,KURTOSIS_ABOUT_MAJOR,0.8647822524736876,0.8706709956709957,0.005207563439270646
29,KURTOSIS_ABOUT_MINOR,0.8449986607424214,0.8484848484848485,0.02499115517053685
29,HOLLOWS_RATIO,0.6622626893566791,0.6904761904761905,0.20772712655627912
30,COMPACTNESS,0.7272476558190845,0.7343073593073592,0.10987355630212758
30,CIRCULARITY,0.7171052631578947,0.7196969696969697,0.12001594896331735
30,DISTANCE_CIRCULARITY,0.798400441257584,0.8041125541125541,0.03872077086362802
30,RADIUS_RATIO,0.6213565239881029,0.614556277056277,0.21576468813310912
30,PR.AXIS_ASPECT_RATIO,0.8092570550017358,0.8029761904761905,0.027864157119476207
30,MAX.LENGTH_ASPECT_RATIO,0.8603896103896104,0.8609307359307359,-0.023268398268398327
30,SCATTER_RATIO,0.7440476190476191,0.7640692640692641,0.09307359307359298
30,ELONGATEDNESS,0.7292761390500752,0.7378787878787878,0.10784507307113689
30,PR.AXIS_RECTANGULARITY,0.775,0.7694805194805194,0.06212121212121202
30,MAX.LENGTH_RECTANGULARITY,0.8199565135186235,0.8257575757575757,0.017164698602588513
30,SCALED_VARIANCE_MAJOR,0.8364130434782608,0.8365800865800865,0.0007081686429512013
30,SCALED_VARIANCE_MINOR,0.693500797448166,0.7067099567099567,0.1436204146730461
30,SCALED_RADIUS_OF_GYRATION,0.8252032520325203,0.8252164502164502,0.011917960088691726
30,SKEWNESS_ABOUT_MAJOR,0.7279223346254811,0.7217532467532467,0.10919887749573098
30,SKEWNESS_ABOUT_MINOR,0.8240589198036007,0.8268398268398268,0.013062292317611357
30,KURTOSIS_ABOUT_MAJOR,0.8240589198036007,0.8246753246753247,0.013062292317611357
30,KURTOSIS_ABOUT_MINOR,0.772883295194508,0.7781385281385281,0.064237916926704
30,HOLLOWS_RATIO,0.6083503123016801,0.6189935064935065,0.22877089981953191
31,COMPACTNESS,0.7711484593837535,0.7813852813852814,0.10094456387206041
31,CIRCULARITY,0.7985135637309551,0.8014069264069263,0.07357945952485889
31,DISTANCE_CIRCULARITY,0.8422619047619047,0.8506493506493507,0.029831118493909292
31,RADIUS_RATIO,0.8288841901237831,0.8222402597402597,0.04320883313203083
31,PR.AXIS_ASPECT_RATIO,0.7730475486573047,0.7683982683982684,0.09904547459850921
31,MAX.LENGTH_ASPECT_RATIO,0.8230122582096266,0.8262445887445888,0.0490807650461873
31,SCATTER_RATIO,0.7583007535837725,0.7508658008658009,0.11379226967204148
31,ELONGATEDNESS,0.6953028040484487,0.7023809523809523,0.17679021920736526
31,PR.AXIS_RECTANGULARITY,0.8056783641890025,0.7984307359307359,0.06641465906681143
31,MAX.LENGTH_RECTANGULARITY,0.7688791413605836,0.7774891774891775,0.1032138818952304
31,SCALED_VARIANCE_MAJOR,0.8252032520325203,0.8262987012987013,0.04688977122329363
31,SCALED_VARIANCE_MINOR,0.7069266151579833,0.7152056277056277,0.16516640809783067
31,SCALED_RADIUS_OF_GYRATION,0.7884210526315789,0.791017316017316,0.08367197062423504
31,SKEWNESS_ABOUT_MAJOR,0.7425152555301298,0.7399891774891775,0.1295777677256842
31,SKEWNESS_ABOUT_MINOR,0.8695532266960838,0.8739177489177489,0.002539796559730134
31,KURTOSIS_ABOUT_MAJOR,0.8039072039072039,0.8013528138528139,0.06818581934861001
31,KURTOSIS_ABOUT_MINOR,0.784919028340081,0.7774891774891775,0.08717399491573297
31,HOLLOWS_RATIO,0.7318559637293653,0.7472402597402596,0.1402370595264486
32,COMPACTNESS,0.8067451236787622,0.8127705627705628,0.0029290428303447857
32,CIRCULARITY,0.7296411318150449,0.7456709956709957,0.08003303469406209
32,DISTANCE_CIRCULARITY,0.6876442775691838,0.7104437229437229,0.12202988893992317
32,RADIUS_RATIO,0.6674342730440291,0.6474567099567099,0.14223989346507782
32,PR.AXIS_ASPECT_RATIO,0.6996947496947498,0.6996212121212122,0.10997941681435719
32,MAX.LENGTH_ASPECT_RATIO,0.7989408361328854,0.8029761904761905,0.010733330376221595
32,SCATTER_RATIO,0.7561223209605413,0.7530844155844156,0.053551845548565624
32,ELONGATEDNESS,0.6889986824769434,0.6803571428571428,0.12067548403216355
32,PR.AXIS_RECTANGULARITY,0.7302009456264775,0.7281385281385282,0.07947322088262943
32,MAX.LENGTH_RECTANGULARITY,0.7030667722157085,0.7201298701298702,0.1066073942933985
32,SCALED_VARIANCE_MAJOR,0.7849280800500312,0.79004329004329,0.024746086459075722
32,SCALED_VARIANCE_MINOR,0.7479226913437439,0.752056277056277,0.06175147516536306
32,SCALED_RADIUS_OF_GYRATION,0.7912400401530836,0.7876082251082251,0.018434126356023373
32,SKEWNESS_ABOUT_MAJOR,0.6942806437276091,0.6968614718614718,0.11539352278149784
32,SKEWNESS_ABOUT_MINOR,0.7620281086531796,0.7673160173160173,0.04764605785592735
32,KURTOSIS_ABOUT_MAJOR,0.8252032520325203,0.8262987012987013,-0.015529085523413366
32,KURTOSIS_ABOUT_MINOR,0.7233117733117733,0.719047619047619,0.08636239319733363
32,HOLLOWS_RATIO,0.5858751362953044,0.6075757575757575,0.22379903021380254
33,COMPACTNESS,0.6569278874340434,0.6774891774891776,0.15562151968058102
33,CIRCULARITY,0.7190711462450592,0.7196428571428571,0.09347826086956523
33,DISTANCE_CIRCULARITY,0.770671834625323,0.7813852813852814,0.04187757248930146
33,RADIUS_RATIO,0.5561594202898551,0.5412337662337662,0.2563899868247693
33,PR.AXIS_ASPECT_RATIO,0.772863061735013,0.7694805194805194,0.039686345379611465
33,MAX.LENGTH_ASPECT_RATIO,0.8005156075808251,0.8018398268398268,0.01203379953379935
33,SCATTER_RATIO,0.741681455190772,0.738365800865801,0.07086795192385242
33,ELONGATEDNESS,0.6566360415133796,0.6640151515151516,0.1559133656012448
33,PR.AXIS_RECTANGULARITY,0.7545713707791304,0.7507575757575757,0.05797803633549403
33,MAX.LENGTH_RECTANGULARITY,0.7722222222222221,0.7768939393939394,0.04032718489240228
33,SCALED_VARIANCE_MAJOR,0.7537764771460425,0.7536796536796536,0.058772929968581966
33,SCALED_VARIANCE_MINOR,0.7053340421761475,0.7157467532467533,0.10721536493847694
33,SCALED_RADIUS_OF_GYRATION,0.7689393939393938,0.760443722943723,0.04361001317523061
33,SKEWNESS_ABOUT_MAJOR,0.6405901521045452,0.6257575757575757,0.17195925501007925
33,SKEWNESS_ABOUT_MINOR,0.7899891774891774,0.790530303030303,0.022560229625447015
33,KURTOSIS_ABOUT_MAJOR,0.8231214584873121,0.8246212121212122,-0.010572051372687685
33,KURTOSIS_ABOUT_MINOR,0.7999999999999999,0.8007575757575757,0.012549407114624489
33,HOLLOWS_RATIO,0.6018340681106638,0.6189393939393939,0.21071533900396067
34,COMPACTNESS,0.6836327679412786,0.6909632034632034,0.11054921985124366
