split,repeat,row_index,edge_features,error
7,0,392,0,False
7,0,407,0,False
7,0,410,0,False
7,0,415,2,False
7,0,417,1,False
7,0,419,2,False
7,0,425,2,True
7,0,430,1,False
7,0,441,0,True
7,0,454,0,False
7,0,469,3,False
7,0,476,4,False
7,0,481,0,False
7,0,490,2,False
7,0,504,0,True
7,0,517,3,False
7,0,519,3,False
7,0,536,2,True
7,0,544,2,False
7,0,564,4,False
7,0,571,0,False
7,0,581,0,False
7,0,583,0,False
7,0,597,1,False
7,0,598,0,False
7,0,601,2,False
7,0,611,0,False
7,0,619,0,False
7,0,622,1,False
7,0,651,0,False
7,0,663,0,True
7,0,682,0,False
7,0,696,0,True
7,0,700,0,False
7,0,709,0,False
7,0,725,1,False
7,0,750,0,False
7,0,756,1,True
7,0,762,0,False
7,0,771,0,False
7,0,782,0,False
7,0,798,1,False
7,0,810,0,False
7,0,816,0,False
7,0,823,0,True
7,0,826,1,False
8,0,11,6,True
8,0,22,0,False
8,0,24,0,False
8,0,42,0,False
8,0,89,8,False
8,0,94,0,False
8,0,105,0,False
8,0,119,0,False
8,0,125,1,False
8,0,127,1,True
8,0,130,0,False
8,0,133,1,False
8,0,137,0,False
8,0,151,1,False
8,0,165,1,False
8,0,172,0,False
8,0,174,0,False
8,0,180,1,False
8,0,183,9,True
8,0,197,0,False
8,0,198,1,False
8,0,201,2,True
8,0,202,2,False
8,0,231,11,True
8,0,234,0,False
8,0,240,1,False
8,0,245,1,False
8,0,247,0,True
8,0,257,0,False
8,0,280,0,False
8,0,303,4,False
8,0,306,0,False
8,0,311,0,False
8,0,326,4,False
8,0,336,0,False
8,0,359,1,False
8,0,365,1,False
8,0,370,0,False
8,0,379,1,True
8,0,393,0,False
8,0,402,0,False
8,0,403,4,False
8,0,406,2,False
8,0,434,0,False
8,0,447,4,False
8,0,457,0,True
8,0,459,2,False
8,0,478,0,False
8,0,484,0,False
8,0,495,0,False
8,0,501,0,False
8,0,509,1,False
8,0,523,4,False
8,0,545,0,False
8,0,562,1,False
8,0,568,2,False
8,0,576,1,False
8,0,580,1,False
8,0,603,2,True
8,0,612,13,True
8,0,615,6,False
8,0,620,4,False
8,0,627,0,False
8,0,630,0,True
8,0,632,0,False
8,0,643,0,False
8,0,658,4,False
8,0,664,2,False
8,0,666,0,True
8,0,676,0,False
8,0,691,0,False
8,0,697,0,False
8,0,701,0,False
8,0,723,0,False
8,0,731,7,False
8,0,735,0,False
8,0,736,0,True
8,0,738,0,False
8,0,759,0,False
8,0,760,0,False
8,0,764,0,False
8,0,812,0,False
8,0,813,0,False
8,0,827,4,False
9,0,13,0,False
9,0,16,8,False
9,0,18,0,False
9,0,25,0,False
9,0,26,5,True
9,0,28,0,False
9,0,49,2,False
9,0,58,0,True
9,0,67,3,False
9,0,73,7,False
9,0,76,0,True
9,0,85,10,False
9,0,87,6,False
9,0,93,0,False
9,0,95,1,False
9,0,104,0,False
9,0,111,0,False
9,0,121,0,False
9,0,126,0,False
9,0,129,0,False
9,0,132,1,False
9,0,140,4,True
9,0,154,0,False
9,0,157,0,False
9,0,160,4,False
9,0,171,8,False
9,0,178,0,False
9,0,182,2,False
9,0,186,0,False
9,0,188,0,True
9,0,191,0,False
9,0,193,6,False
9,0,200,0,False
9,0,204,4,False
9,0,229,0,True
9,0,250,1,False
9,0,256,2,True
9,0,259,4,False
9,0,264,2,False
9,0,270,1,False
9,0,274,8,False
9,0,286,0,False
9,0,292,0,False
9,0,323,1,False
9,0,332,6,False
9,0,334,7,False
9,0,343,1,False
9,0,383,3,False
9,0,384,0,True
9,0,412,1,False
9,0,418,1,False
9,0,421,0,False
9,0,422,5,True
9,0,428,1,False
9,0,474,0,False
9,0,488,0,False
9,0,503,0,False
9,0,513,2,True
9,0,515,4,False
9,0,520,0,True
9,0,524,0,True
9,0,577,1,True
9,0,578,2,False
9,0,582,0,False
9,0,587,0,False
9,0,606,1,False
9,0,614,12,False
9,0,624,2,True
9,0,637,1,False
9,0,656,0,False
9,0,669,0,False
9,0,674,0,False
9,0,712,0,False
9,0,714,1,False
9,0,719,0,False
9,0,724,0,False
9,0,729,1,False
9,0,734,5,False
9,0,742,0,True
9,0,791,1,False
9,0,815,3,False
9,0,817,2,False
9,0,829,0,False
9,0,838,0,False
10,1,30,0,False
10,1,78,0,False
10,1,85,10,False
10,1,90,1,False
10,1,93,0,False
10,1,116,0,False
10,1,137,0,False
10,1,153,0,False
10,1,154,0,False
10,1,160,4,False
10,1,174,0,False
10,1,185,0,False
10,1,186,0,False
10,1,188,0,True
10,1,191,0,False
10,1,224,0,False
10,1,233,0,True
10,1,264,2,False
10,1,266,1,False
10,1,274,8,False
10,1,283,3,False
10,1,285,0,True
10,1,290,1,False
10,1,293,1,False
10,1,301,0,False
10,1,306,0,False
10,1,314,0,False
10,1,321,10,False
10,1,334,7,False
10,1,340,0,False
10,1,342,2,False
10,1,350,1,False
10,1,366,0,False
10,1,370,0,False
10,1,381,10,False
10,1,385,1,False
10,1,391,1,False
10,1,413,2,False
10,1,415,1,False
10,1,424,0,False
10,1,426,0,False
10,1,433,0,False
10,1,439,4,False
10,1,440,0,False
10,1,462,0,True
10,1,467,1,False
10,1,470,0,False
10,1,473,3,False
10,1,507,3,True
10,1,514,0,False
10,1,519,3,False
10,1,525,0,False
10,1,528,0,False
10,1,578,2,False
10,1,602,3,False
10,1,604,0,True
10,1,611,0,False
10,1,613,0,False
10,1,634,3,True
10,1,644,0,False
10,1,648,0,False
10,1,649,0,False
10,1,655,10,False
10,1,657,0,False
10,1,661,1,False
10,1,662,1,True
10,1,673,2,True
10,1,694,0,False
10,1,696,0,True
10,1,697,0,False
10,1,710,5,False
10,1,717,1,False
10,1,726,0,False
10,1,727,1,False
10,1,728,3,False
10,1,729,1,False
10,1,750,0,False
10,1,767,0,False
10,1,773,0,False
10,1,785,1,False
10,1,802,0,False
10,1,813,0,False
10,1,833,0,True
10,1,844,1,True
10,1,845,4,False
11,1,11,5,True
11,1,24,0,False
11,1,31,0,True
11,1,38,1,False
11,1,46,0,False
11,1,47,2,False
11,1,62,1,False
11,1,73,7,False
11,1,84,1,False
11,1,89,7,False
11,1,94,0,False
11,1,96,1,False
11,1,102,0,False
11,1,103,4,False
11,1,104,0,False
11,1,113,8,True
11,1,117,2,False
11,1,119,0,False
11,1,125,1,False
11,1,133,1,False
11,1,144,0,False
11,1,146,2,False
11,1,170,0,True
11,1,172,0,False
11,1,179,0,False
11,1,196,3,True
11,1,223,1,False
11,1,226,1,False
11,1,236,1,False
11,1,244,0,False
11,1,251,4,False
11,1,257,0,False
11,1,258,0,False
11,1,272,0,False
11,1,277,0,True
11,1,278,4,False
11,1,299,0,False
11,1,302,1,False
11,1,309,2,False
11,1,323,1,False
11,1,325,1,False
11,1,328,0,False
11,1,332,4,False
11,1,335,2,False
11,1,345,6,False
11,1,353,2,False
11,1,364,0,False
11,1,407,0,False
11,1,408,0,False
11,1,409,0,True
11,1,417,1,False
11,1,457,0,True
11,1,459,2,True
11,1,465,0,False
11,1,492,1,False
11,1,493,0,False
11,1,498,8,False
11,1,531,8,False
11,1,538,0,False
11,1,539,7,False
11,1,542,0,True
11,1,548,1,False
11,1,549,0,False
11,1,561,0,False
11,1,568,2,False
11,1,618,0,False
11,1,670,2,False
11,1,690,2,False
11,1,695,1,False
11,1,706,4,False
11,1,715,4,False
11,1,718,2,False
11,1,720,0,True
11,1,738,0,False
11,1,739,0,False
11,1,741,0,False
11,1,768,0,False
11,1,771,0,False
11,1,776,0,False
11,1,781,2,False
11,1,789,0,False
11,1,806,1,True
11,1,816,0,False
11,1,823,0,False
11,1,834,5,False
12,1,1,0,False
12,1,5,8,False
12,1,13,0,False
12,1,17,0,False
12,1,18,0,False
12,1,34,0,False
12,1,42,0,False
12,1,61,1,False
12,1,97,0,False
12,1,111,0,False
12,1,134,0,False
12,1,142,1,False
12,1,151,1,False
12,1,163,0,True
12,1,166,4,False
12,1,199,0,False
12,1,201,2,True
12,1,215,0,True
12,1,221,0,False
12,1,247,0,True
12,1,249,8,False
12,1,262,5,False
12,1,268,6,False
12,1,270,1,False
12,1,282,0,False
12,1,307,0,False
12,1,310,0,True
12,1,317,2,False
12,1,322,1,False
12,1,327,0,True
12,1,348,0,False
12,1,349,3,False
12,1,358,0,False
12,1,361,1,False
12,1,365,1,False
12,1,375,6,False
12,1,378,4,True
12,1,379,1,True
12,1,384,0,True
12,1,393,0,False
12,1,400,2,False
12,1,431,2,False
12,1,434,0,False
12,1,442,6,False
12,1,444,9,False
12,1,447,4,False
12,1,452,0,True
12,1,461,0,False
12,1,471,3,False
12,1,482,0,True
12,1,510,2,False
12,1,529,2,False
12,1,547,0,True
12,1,575,1,False
12,1,577,1,True
12,1,579,2,True
12,1,581,0,False
12,1,583,0,False
12,1,589,5,False
12,1,597,3,False
12,1,617,7,False
12,1,620,4,False
12,1,624,2,True
12,1,637,1,False
12,1,653,0,False
12,1,660,5,False
12,1,664,2,False
12,1,667,2,False
12,1,669,0,False
12,1,698,0,False
12,1,701,0,False
12,1,708,0,False
12,1,725,1,False
12,1,733,9,False
12,1,752,1,False
12,1,759,0,False
12,1,762,0,False
12,1,786,0,False
12,1,788,1,False
12,1,793,0,False
12,1,803,0,False
12,1,819,0,False
12,1,822,0,False
12,1,836,0,False
12,1,840,5,False
13,1,19,1,False
13,1,41,8,False
13,1,45,0,False
13,1,71,6,False
13,1,74,0,False
13,1,81,0,False
13,1,99,2,False
13,1,128,0,False
13,1,147,0,False
13,1,155,9,False
13,1,161,1,True
13,1,168,0,False
13,1,171,8,False
13,1,208,0,False
13,1,209,2,False
13,1,220,2,False
13,1,225,0,False
13,1,227,2,False
13,1,243,2,True
13,1,248,1,False
13,1,250,1,False
13,1,255,3,False
13,1,271,0,False
13,1,276,1,False
13,1,286,0,False
13,1,291,4,False
13,1,324,0,False
13,1,326,4,False
13,1,338,1,False
13,1,343,1,False
13,1,346,4,False
13,1,347,2,False
13,1,356,0,False
13,1,359,1,False
13,1,360,1,False
13,1,363,0,False
13,1,377,0,False
13,1,387,0,False
13,1,390,2,False
13,1,403,3,False
13,1,406,1,False
13,1,420,5,False
13,1,450,1,False
13,1,451,0,True
13,1,453,0,False
13,1,464,0,False
13,1,468,1,False
13,1,481,0,False
13,1,483,0,False
13,1,491,1,False
13,1,496,1,False
13,1,505,2,False
13,1,508,0,False
13,1,512,3,False
13,1,513,2,True
13,1,524,0,False
13,1,550,6,False
13,1,554,2,False
13,1,564,4,False
13,1,565,2,False
13,1,592,1,False
13,1,599,0,True
13,1,603,2,False
13,1,626,0,False
13,1,629,0,False
13,1,630,0,False
13,1,646,0,False
13,1,654,3,True
13,1,659,0,True
13,1,672,1,False
13,1,683,9,False
13,1,686,0,True
13,1,716,0,False
13,1,721,2,False
13,1,724,0,False
13,1,730,4,False
13,1,737,2,False
13,1,756,1,True
13,1,760,0,True
13,1,763,1,False
13,1,765,0,False
13,1,769,1,False
13,1,784,6,True
13,1,792,1,False
13,1,838,0,False
14,1,4,4,False
14,1,14,0,False
14,1,33,1,False
14,1,36,2,False
14,1,40,0,False
14,1,44,3,False
14,1,51,0,False
14,1,54,7,False
14,1,57,0,False
14,1,58,0,True
14,1,72,0,True
14,1,76,0,False
14,1,87,6,False
14,1,105,0,False
14,1,109,0,False
14,1,132,1,False
14,1,149,0,False
14,1,183,9,True
14,1,194,0,False
14,1,231,11,True
14,1,239,1,False
14,1,240,1,True
14,1,241,0,True
14,1,267,0,False
14,1,269,6,False
14,1,280,0,False
14,1,281,0,False
14,1,311,0,False
14,1,319,2,False
14,1,352,0,False
14,1,362,0,False
14,1,382,1,False
14,1,395,1,True
14,1,402,0,False
14,1,419,2,False
14,1,425,2,True
14,1,427,1,True
14,1,432,0,False
14,1,437,0,False
14,1,449,0,False
14,1,456,1,False
14,1,458,2,False
14,1,466,1,False
14,1,484,0,False
14,1,497,0,False
14,1,501,0,False
14,1,509,1,False
14,1,516,4,False
14,1,517,2,False
14,1,523,4,False
14,1,557,1,True
14,1,559,3,True
14,1,594,2,False
14,1,598,0,False
14,1,601,2,False
14,1,606,1,False
14,1,610,1,False
14,1,614,11,False
14,1,619,0,False
14,1,640,1,True
14,1,656,0,False
14,1,658,4,False
14,1,663,0,True
14,1,671,1,False
14,1,681,1,False
14,1,691,0,False
14,1,693,0,False
14,1,707,8,False
14,1,709,0,False
14,1,753,1,False
14,1,755,6,False
14,1,758,1,False
14,1,770,1,False
14,1,777,7,False
14,1,778,1,False
14,1,783,0,False
14,1,790,2,False
14,1,794,0,False
14,1,797,3,False
14,1,804,0,True
14,1,805,1,False
14,1,809,2,True
14,1,812,0,False
14,1,829,0,False
14,1,839,0,False
15,1,3,0,False
15,1,9,0,False
15,1,20,0,False
15,1,22,0,False
15,1,26,3,True
15,1,37,5,False
15,1,52,3,False
15,1,53,2,False
15,1,56,0,False
15,1,60,0,False
15,1,65,1,True
15,1,86,0,False
15,1,112,1,False
15,1,140,4,True
15,1,173,0,False
15,1,175,1,False
15,1,177,0,True
15,1,207,2,False
15,1,211,1,False
15,1,232,3,False
15,1,245,1,False
15,1,273,0,False
15,1,279,0,False
15,1,284,1,False
15,1,296,0,False
15,1,303,4,False
15,1,305,0,False
15,1,308,1,False
15,1,313,0,False
15,1,330,2,False
15,1,354,0,True
15,1,367,1,True
15,1,368,0,False
15,1,380,2,False
15,1,389,4,False
15,1,392,0,False
15,1,405,0,False
15,1,418,1,False
15,1,422,5,True
15,1,428,1,False
15,1,435,1,False
15,1,446,0,False
15,1,448,0,False
15,1,469,3,False
15,1,474,0,False
15,1,478,0,False
15,1,485,0,False
15,1,488,0,False
15,1,503,0,False
15,1,504,0,True
15,1,506,2,False
15,1,518,0,False
15,1,527,1,True
15,1,534,4,False
15,1,535,0,False
15,1,555,0,False
15,1,567,0,False
15,1,572,0,False
15,1,595,0,False
15,1,616,0,False
15,1,627,0,False
15,1,631,0,False
15,1,632,0,False
15,1,636,3,False
15,1,643,0,False
15,1,647,0,False
15,1,651,0,False
15,1,668,0,False
15,1,680,0,False
15,1,699,0,True
15,1,705,2,False
15,1,723,0,False
15,1,735,0,True
15,1,736,0,True
15,1,740,1,False
15,1,745,0,False
15,1,746,0,False
15,1,766,0,False
15,1,774,0,False
15,1,800,0,False
15,1,801,0,True
15,1,807,0,False
15,1,810,0,False
15,1,811,0,True
15,1,817,1,False
16,1,16,8,False
16,1,27,0,False
16,1,29,1,False
16,1,32,2,True
16,1,35,1,False
16,1,49,2,False
16,1,55,4,False
16,1,67,3,False
16,1,69,1,False
16,1,77,0,True
16,1,80,1,False
16,1,95,1,False
16,1,100,5,True
16,1,122,1,False
16,1,136,0,False
16,1,145,3,False
16,1,148,3,True
16,1,158,1,False
16,1,159,1,False
16,1,169,1,False
16,1,178,0,False
16,1,190,1,False
16,1,200,0,False
16,1,203,1,False
16,1,210,3,False
16,1,213,2,False
16,1,218,0,False
16,1,228,0,False
16,1,230,11,False
16,1,234,0,False
16,1,242,2,False
16,1,253,0,False
16,1,287,0,False
16,1,288,0,False
16,1,300,0,True
16,1,331,0,False
16,1,357,3,False
