method,split,kind,level,realization,macro_f1,balanced_accuracy
svm,27,noise,0.05,15,0.8182113172806369,0.821969696969697
svm,27,noise,0.05,16,0.8307661330917144,0.8338744588744589
svm,27,noise,0.05,17,0.8210430309905635,0.821969696969697
svm,27,noise,0.05,18,0.8031580281580282,0.810064935064935
svm,27,noise,0.05,19,0.8277826527826528,0.8338744588744589
svm,27,noise,0.1,0,0.7539087789087788,0.7624458874458875
svm,27,noise,0.1,1,0.8191379240970313,0.8225108225108224
svm,27,noise,0.1,2,0.8549489506522971,0.8571428571428571
svm,27,noise,0.1,3,0.7855927396483267,0.7867965367965367
svm,27,noise,0.1,4,0.8296024151287309,0.8338744588744589
svm,27,noise,0.1,5,0.8413919413919413,0.8457792207792207
svm,27,noise,0.1,6,0.8492054693274205,0.8576839826839826
svm,27,noise,0.1,7,0.8294573643410852,0.8338744588744589
svm,27,noise,0.1,8,0.7969151240138194,0.7987012987012987
svm,27,noise,0.1,9,0.7964166840024964,0.7981601731601732
svm,27,noise,0.1,10,0.8311017115279675,0.8338744588744589
svm,27,noise,0.1,11,0.7263187748156551,0.7272727272727273
svm,27,noise,0.1,12,0.7593161683277962,0.7624458874458875
svm,27,noise,0.1,13,0.8556843043513491,0.8576839826839827
svm,27,noise,0.1,14,0.7955469327420547,0.797564935064935
svm,27,noise,0.1,15,0.7995502795559517,0.7987012987012987
svm,27,noise,0.1,16,0.8068395019614532,0.810064935064935
svm,27,noise,0.1,17,0.7804598980028707,0.7862554112554113
svm,27,noise,0.1,18,0.8081460454699341,0.8106060606060606
svm,27,noise,0.1,19,0.8044621749408984,0.8094696969696971
svm,27,noise,0.2,0,0.7650250156347717,0.7628787878787878
svm,27,noise,0.2,1,0.8296011612500975,0.8327380952380952
svm,27,noise,0.2,2,0.7499797423223402,0.7504870129870129
svm,27,noise,0.2,3,0.7527838902418971,0.750974025974026
svm,27,noise,0.2,4,0.8155025868440502,0.821969696969697
svm,27,noise,0.2,5,0.8431146179401994,0.8451839826839826
svm,27,noise,0.2,6,0.7560194972985671,0.7617965367965368
svm,27,noise,0.2,7,0.739857881136951,0.7396645021645021
svm,27,noise,0.2,8,0.7624458874458875,0.7624458874458875
svm,27,noise,0.2,9,0.8133540372670807,0.821969696969697
svm,27,noise,0.2,10,0.6761294261294261,0.6682359307359307
svm,27,noise,0.2,11,0.6896771722636725,0.6903679653679654
svm,27,noise,0.2,12,0.8591993991320797,0.8564935064935065
svm,27,noise,0.2,13,0.6974622648964754,0.700487012987013
svm,27,noise,0.2,14,0.7398422377080913,0.7391233766233767
svm,27,noise,0.2,15,0.7476568619506793,0.7504870129870129
svm,27,noise,0.2,16,0.7383733223018938,0.7391233766233767
svm,27,noise,0.2,17,0.7468767236624378,0.7515692640692642
svm,27,noise,0.2,18,0.7945611788400759,0.7986471861471862
svm,27,noise,0.2,19,0.7314340314340314,0.7391774891774892
svm,27,missing,0.05,0,0.7552650052650052,0.7623917748917748
svm,27,missing,0.05,1,0.7237164662349675,0.7375
svm,27,missing,0.05,2,0.8071595134555997,0.8105519480519481
svm,27,missing,0.05,3,0.7797550324764575,0.7867965367965368
svm,27,missing,0.05,4,0.7588452745054395,0.7748376623376623
svm,27,missing,0.05,5,0.7861159504452188,0.7878246753246754
